Artist and Title,Artist,Title,Streams,Daily,year,main_genre,genres,first_genre,second_genre,third_genre,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Bruno Mars - Just the Way You Are,Bruno Mars,Just the Way You Are,2190999113,1264628,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,b184f2a6-786e-4f4f-a38a-ead4c6eacfa3,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,USAT21001269,0.0134,0.635,0.841,0,5,0.0622,-5.379,1,0.0422,109.021,0.424
Don Omar - Danza Kuduro,Don Omar,Danza Kuduro,1751392253,1426032,2010,Hip-Hop/Rap,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",latin hip hop,puerto rican pop,reggaeton,1045711e-1ef7-4c09-979e-38b69d8af3b2,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw,USUM71020778,0.083,0.4,0.915,0,0,0.0503,-4.89,1,0.279,89.006,0.871
Eminem - Love The Way You Lie,Eminem,Love The Way You Lie,1590400443,814597,2010,Hip-Hop/Rap,"['detroit hip hop', 'hip hop', 'rap']",detroit hip hop,hip hop,rap,cd9fa892-9d52-4062-970b-46540c9fe933,https://open.spotify.com/track/15JINEqzVMv3SvJTAXAKED,USUM71015397,0.241,0.749,0.925,0,10,0.52,-5.034,1,0.227,86.989,0.641
"Train - Hey, Soul Sister",Train,"Hey, Soul Sister",1584979624,930290,2010,Pop,"['hip pop', 'pop']",hip pop,pop,Unknown,c03a0e2d-f951-485c-83d5-08e79f96bdd7,https://open.spotify.com/track/4HlFJV71xXKIGcU3kRyttv,USSM10904113,0.185,0.673,0.886,0,1,0.0826,-4.44,0,0.0431,97.012,0.795
Maroon 5 - Moves Like Jagger,Maroon 5,Moves Like Jagger,1522800858,929759,2010,Pop,['pop'],pop,Unknown,Unknown,7bec6799-1a91-4940-a0b8-8528666b2402,https://open.spotify.com/track/3TahdwXB4gJRWVAI00Ejqa,USUM71109132,0.0117,0.722,0.761,0,11,0.315,-4.459,0,0.0475,128.044,0.624
Miguel - Sure Thing,Miguel,Sure Thing,1418205401,1364219,2010,R&B/Soul,"['r&b', 'urban contemporary']",r&b,urban contemporary,Unknown,4db3d8e0-c134-4232-9970-ffe677117df0,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV,USJI10800160,0.0267,0.684,0.607,0.000307,11,0.191,-8.127,0,0.1,81.001,0.498
Bruno Mars - Talking to the Moon,Bruno Mars,Talking to the Moon,1410839937,796025,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,4b464950-6430-470e-a710-a8a27ed79095,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU,USAT21001985,0.511,0.498,0.59,0,1,0.107,-4.721,0,0.032,145.867,0.0784
Bruno Mars - Grenade,Bruno Mars,Grenade,1354501521,653076,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,,,,,,,,,,,,,,
Katy Perry - Last Friday Night (T.G.I.F.),Katy Perry,Last Friday Night (T.G.I.F.),1199830145,820797,2010,Pop,['pop'],pop,Unknown,Unknown,ce75d789-51e1-4a90-aec0-5ea8093a1119,https://open.spotify.com/track/1htQDV8JxSuXG2QsNj5ttr,USCA21001264,0.00129,0.652,0.81,2.91e-05,3,0.667,-3.789,0,0.0406,126.022,0.732
Rihanna - Only Girl (In The World),Rihanna,Only Girl (In The World),1147118561,909814,2010,Pop,"['barbadian pop', 'pop', 'urban contemporary']",barbadian pop,pop,urban contemporary,c7923e75-a35f-463c-b77c-81332936df8d,https://open.spotify.com/track/2ENexcMEMsYk0rVJigVD3i,USUM71023200,0.112,0.789,0.706,1.71e-05,11,0.0586,-4.233,0,0.0429,125.918,0.638
Katy Perry - Firework,Katy Perry,Firework,1107014841,602341,2010,Pop,['pop'],pop,Unknown,Unknown,031a4859-77d2-4bd5-851e-5fa14f811b44,https://open.spotify.com/track/3lXbHd0EoryoQh3vpevNEP,USCA21001262,0.142,0.638,0.831,0,8,0.113,-5.039,1,0.049,124.071,0.649
Taio Cruz - Dynamite,Taio Cruz,Dynamite,1102900089,472520,2010,Pop,"['dance pop', 'pop', 'pop rap']",dance pop,pop,pop rap,9ba9b924-ccc5-4023-a0f3-1c08e9384034,https://open.spotify.com/track/2CEgGE6aESpnmtfiZwYlbV,GBUM71003721,0.0039,0.751,0.781,0,4,0.036,-3.724,1,0.0862,119.977,0.814
Rihanna - S&M,Rihanna,S&M,1087079694,785208,2010,Pop,"['barbadian pop', 'pop', 'urban contemporary']",barbadian pop,pop,urban contemporary,3d4c8ee7-e569-41d1-857e-f831e3c03fdf,https://open.spotify.com/track/7ySUcLPVX7KudhnmNcgY2D,USUM71026591,0.0105,0.769,0.685,0.000124,1,0.0887,-5.019,1,0.041,127.977,0.836
Bruno Mars - Marry You,Bruno Mars,Marry You,1042067293,568598,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,,,,,,,,,,,,,,
