Year,Word,Frequency,Category
2010,back,302,Other
2010,hands,231,Anatomy
2010,said,222,Action
2010,life,220,Other
2010,night,207,Party
2010,look,201,Action
2010,put,199,Action
2010,man,199,Person
2010,could,194,Other
2010,stop,189,Action
2010,think,185,Other
2010,heart,183,Emotion
2010,keep,172,Action
2010,run,171,Action
2010,name,168,Other
2010,away,168,Location
2010,dance,167,Party
2010,world,163,Location
2010,give,163,Action
2010,ever,157,Time
2010,head,153,Anatomy
2010,really,150,Other
2010,good,150,Other
2010,day,147,Time
2010,better,146,Other
2010,lights,143,Other
2010,around,140,Location
2010,eyes,137,Anatomy
2010,fuck,134,Profanity
2010,shit,130,Profanity
2010,tonight,130,Party
2010,little,128,Other
2010,wish,126,Emotion
2010,thing,125,Action
2010,home,122,Location
2010,show,121,Action
2010,nigga,121,Profanity
2010,turn,120,Action
2010,boom,120,Vocalization
2010,bitch,120,Profanity
2010,low,118,Other
2010,live,118,Other
2010,mind,118,Emotion
2010,find,117,Other
2010,stand,115,Other
2010,still,113,Time
2010,rock,111,Other
2010,would,107,Other
2010,party,104,Party
2010,fly,103,Other
2010,every,102,Other
2010,long,102,Other
2010,last,102,Time
2010,nothing,102,Action
2010,everybody,102,Other
2010,even,101,Other
2010,going,99,Action
2010,ride,98,Other
2010,chick,98,Other
2010,everything,97,Action
2010,try,96,Other
2010,gone,95,Other
2010,huh,94,Vocalization
2010,wooo,94,Vocalization
2010,leave,92,Action
2010,hold,92,Action
2010,money,92,Wealth
2010,fight,91,Other
2010,enough,91,Other
2010,bad,90,Other
2010,work,88,Other
2010,woah,88,Vocalization
2010,somebody,88,Other
2010,always,87,Time
2010,dream,85,Emotion
2010,play,84,Other
2010,call,83,Other
2010,shot,82,Party
2010,done,82,Other
2010,move,82,Action
2010,bang,82,Other
2010,talk,80,Other
2010,pretty,80,Other
2010,smile,79,Other
2010,waiting,79,Action
2010,mmm,77,Vocalization
2010,change,76,Other
2010,start,76,Other
2010,feeling,76,Emotion
2010,well,76,Other
2010,please,76,Other
2010,place,76,Location
2010,old,74,Other
2010,face,73,Anatomy
2010,care,73,Other
2010,came,73,Other
2010,fall,72,Other
2010,moment,72,Other
2010,alone,72,Other
2010,bout,72,Other
2011,back,310,Other
2011,give,275,Action
2011,woah,246,Vocalization
2011,heart,245,Emotion
2011,tonight,225,Party
2011,good,220,Other
2011,put,217,Action
2011,bitch,205,Profanity
2011,keep,201,Action
2011,night,199,Party
2011,day,195,Time
2011,things,191,Other
2011,man,189,Person
2011,life,188,Other
2011,ayy,187,Vocalization
2011,could,184,Other
2011,nigga,179,Profanity
2011,money,169,Wealth
2011,look,168,Action
2011,mind,161,Emotion
2011,run,160,Action
2011,said,158,Action
2011,fuck,156,Profanity
2011,hands,147,Anatomy
2011,alright,146,Other
2011,call,145,Other
2011,still,143,Time
2011,think,142,Other
2011,talk,142,Other
2011,world,141,Location
2011,turn,140,Action
2011,hold,139,Action
2011,always,138,Time
2011,every,134,Other
2011,girls,134,Person
2011,stop,130,Action
2011,little,129,Other
2011,try,129,Other
2011,shit,127,Profanity
2011,show,120,Action
2011,cake,120,Other
2011,everything,117,Action
2011,around,116,Location
2011,even,115,Other
2011,away,114,Location
2011,light,111,Other
2011,name,111,Other
2011,head,111,Anatomy
2011,rock,111,Other
2011,party,104,Party
2011,city,104,Location
2011,shake,102,Other
2011,well,101,Other
2011,everybody,101,Other
2011,leave,99,Action
2011,home,98,Location
2011,fall,96,Other
2011,long,95,Other
2011,ever,94,Time
2011,eyes,94,Anatomy
2011,rack,94,Other
2011,bad,93,Other
2011,going,93,Action
2011,kiss,93,Other
2011,waiting,92,Action
2011,buh,92,Other
2011,would,91,Other
2011,really,90,Other
2011,dance,90,Party
2011,body,89,Anatomy
2011,gone,88,Other
2011,play,88,Other
2011,watch,87,Other
2011,feeling,87,Emotion
2011,pick,87,Other
2011,coming,86,Action
2011,nothing,86,Action
2011,start,86,Other
2011,fight,85,Other
2011,til,85,Other
2011,alone,85,Other
2011,damn,84,Profanity
2011,live,84,Other
2011,friends,84,Person
2011,die,84,Other
2011,break,83,Other
2011,floor,82,Location
2011,loving,82,Action
2011,pump,82,Other
2011,new,81,Other
2011,much,80,Other
2011,born,79,Other
2011,stay,78,Action
2011,hard,78,Other
2011,something,78,Action
2011,god,77,Other
2011,please,77,Other
2011,fuckin,77,Profanity
2011,hope,74,Emotion
2011,told,74,Action
2012,nigga,247,Profanity
2012,woah,230,Vocalization
2012,life,229,Other
2012,think,225,Other
2012,back,216,Other
2012,night,203,Party
2012,day,202,Time
2012,could,195,Other
2012,heart,188,Emotion
2012,look,176,Action
2012,good,168,Other
2012,bitch,166,Profanity
2012,eyes,156,Anatomy
2012,turn,152,Action
2012,little,151,Other
2012,fuck,147,Profanity
2012,try,141,Other
2012,ever,141,Time
2012,away,140,Location
2012,hands,138,Anatomy
2012,things,136,Other
2012,hold,135,Action
2012,every,134,Other
2012,shit,134,Profanity
2012,said,134,Action
2012,tonight,132,Party
2012,long,128,Other
2012,would,128,Other
2012,give,127,Action
2012,world,123,Location
2012,fall,122,Other
2012,die,121,Other
2012,run,119,Action
2012,wait,116,Other
2012,still,115,Time
2012,last,114,Time
2012,put,113,Action
2012,live,112,Other
2012,keep,111,Action
2012,made,108,Action
2012,bang,107,Other
2012,stop,106,Action
2012,mind,104,Emotion
2012,find,102,Other
2012,well,102,Other
2012,sun,102,Other
2012,two,101,Other
2012,feeling,101,Emotion
2012,walk,99,Action
2012,head,98,Anatomy
2012,man,97,Person
2012,light,97,Other
2012,comes,97,Other
2012,mine,96,Other
2012,always,94,Time
2012,home,94,Location
2012,stay,93,Action
2012,feat,93,Other
2012,everything,90,Action
2012,old,90,Other
2012,dance,89,Party
2012,nah,89,Other
2012,new,87,Other
2012,hit,87,Other
2012,call,86,Other
2012,dreams,85,Emotion
2012,bout,85,Other
2012,close,84,Other
2012,goes,84,Other
2012,hard,83,Other
2012,money,83,Wealth
2012,lost,83,Other
2012,young,81,Other
2012,miss,81,Other
2012,work,80,Other
2012,sing,79,Action
