Year,Word,Frequency
2010,back,301
2010,ain,243
2010,said,222
2010,life,210
2010,night,206
2010,man,198
2010,could,194
2010,put,192
2010,stop,178
2010,hands,169
2010,away,168
2010,keep,166
2010,world,162
2010,heart,159
2010,ever,157
2010,name,156
2010,won,153
2010,think,152
2010,really,150
2010,good,150
2010,better,146
2010,give,146
2010,around,140
2010,look,135
2010,tonight,130
2010,little,128
2010,dance,128
2010,head,125
2010,run,121
2010,home,120
2010,boom,120
2010,low,118
2010,eyes,114
2010,find,114
2010,still,112
2010,mind,112
2010,day,111
2010,would,107
2010,wish,107
2010,show,107
2010,shit,105
2010,fuck,104
2010,every,102
2010,rock,102
2010,everybody,102
2010,long,101
2010,last,101
2010,nothing,101
2010,even,99
2010,party,99
2010,everything,97
2010,fly,96
2010,gone,95
2010,stand,94
2010,huh,94
2010,chick,94
2010,wooo,94
2010,turn,92
2010,money,92
2010,enough,91
2010,bad,90
2010,live,89
2010,woah,88
2010,somebody,88
2010,fight,87
2010,always,87
2010,bitch,85
2010,lights,85
2010,leave,82
2010,done,82
2010,bang,81
2010,pretty,80
2010,nigga,80
2010,hold,78
2010,mmm,77
2010,well,75
2010,please,74
2010,old,74
2010,came,73
2010,alone,72
2010,bout,72
2010,place,71
2010,hard,71
2010,high,70
2010,air,69
2010,shot,69
2010,change,68
2010,mean,68
2010,moment,68
2010,much,67
2010,maybe,67
2010,something,66
2010,comin,66
2010,big,66
2010,going,66
2010,thing,65
2010,hear,65
2010,hit,65
2010,made,65
2010,whoa,65
2011,back,308
2011,ain,255
2011,woah,246
2011,give,238
2011,heart,232
2011,tonight,225
2011,good,215
2011,put,215
2011,night,191
2011,man,189
2011,ayy,187
2011,keep,186
2011,could,184
2011,life,174
2011,money,169
2011,mind,159
2011,said,158
2011,day,149
2011,alright,146
2011,still,143
2011,world,140
2011,won,139
2011,always,138
2011,bitch,135
2011,every,134
2011,girls,134
2011,little,129
2011,shit,126
2011,fuck,126
2011,hold,124
2011,cake,120
2011,think,119
2011,everything,117
2011,around,116
2011,run,115
2011,away,114
2011,stop,113
2011,even,112
2011,call,112
2011,name,105
2011,show,105
2011,city,103
2011,turn,103
2011,look,102
2011,head,102
2011,things,101
2011,well,101
2011,everybody,101
2011,party,99
2011,shake,98
2011,home,97
2011,nigga,96
2011,long,95
2011,ever,94
2011,bad,93
2011,buh,92
2011,would,91
2011,hands,90
2011,really,90
2011,thing,90
2011,gone,88
2011,rack,88
2011,nothing,86
2011,til,85
2011,alone,85
2011,talk,85
2011,rock,84
2011,niggas,83
2011,pick,83
2011,dance,82
2011,eyes,81
2011,new,81
2011,floor,81
2011,pump,81
2011,damn,80
2011,much,80
2011,body,79
2011,die,79
2011,fight,78
2011,hard,78
2011,born,78
2011,try,78
