Year,Word,Frequency
2010,back,302
2010,hands,231
2010,said,222
2010,life,220
2010,night,207
2010,look,201
2010,put,199
2010,man,199
2010,could,194
2010,stop,189
2010,think,185
2010,heart,183
2010,keep,172
2010,run,171
2010,name,168
2010,away,168
2010,dance,167
2010,world,163
2010,give,163
2010,ever,157
2010,head,153
2010,really,150
2010,good,150
2010,day,147
2010,better,146
2010,lights,143
2010,around,140
2010,eyes,137
2010,fuck,134
2010,shit,130
2010,tonight,130
2010,little,128
2010,wish,126
2010,thing,125
2010,home,122
2010,show,121
2010,nigga,121
2010,turn,120
2010,boom,120
2010,bitch,120
2010,low,118
2010,live,118
2010,mind,118
2010,find,117
2010,stand,115
2010,still,113
2010,rock,111
2010,would,107
2010,party,104
2010,fly,103
2010,every,102
2010,long,102
2010,last,102
2010,nothing,102
2010,everybody,102
2010,even,101
2010,going,99
2010,ride,98
2010,chick,98
2010,everything,97
2010,try,96
2010,gone,95
2010,huh,94
2010,wooo,94
2010,leave,92
2010,hold,92
2010,money,92
2010,fight,91
2010,enough,91
2010,bad,90
2010,work,88
2010,woah,88
2010,somebody,88
2010,always,87
2010,dream,85
2010,play,84
2010,call,83
2010,shot,82
2010,done,82
2010,move,82
2010,bang,82
2010,talk,80
2010,pretty,80
2010,smile,79
2010,waiting,79
2010,mmm,77
2010,change,76
2010,start,76
2010,feeling,76
2010,well,76
2010,please,76
2010,place,76
2010,old,74
2010,face,73
2010,care,73
2010,came,73
2010,fall,72
2010,moment,72
2010,alone,72
2010,bout,72
2011,back,310
2011,give,275
2011,woah,246
2011,heart,245
2011,tonight,225
2011,good,220
2011,put,217
2011,bitch,205
2011,keep,201
2011,night,199
2011,day,195
2011,things,191
2011,man,189
2011,life,188
2011,ayy,187
2011,could,184
2011,nigga,179
2011,money,169
2011,look,168
2011,mind,161
2011,run,160
2011,said,158
2011,fuck,156
2011,hands,147
2011,alright,146
2011,call,145
2011,still,143
2011,think,142
2011,talk,142
2011,world,141
2011,turn,140
2011,hold,139
2011,always,138
2011,every,134
2011,girls,134
2011,stop,130
2011,little,129
2011,try,129
2011,shit,127
2011,show,120
2011,cake,120
2011,everything,117
2011,around,116
2011,even,115
2011,away,114
2011,light,111
2011,name,111
2011,head,111
2011,rock,111
2011,party,104
2011,city,104
2011,shake,102
2011,well,101
2011,everybody,101
2011,leave,99
2011,home,98
2011,fall,96
2011,long,95
2011,ever,94
