Unnamed: 0,Artist and Title,Artist,Year,main_genre,genres,first_genre,second_genre,third_genre,Streams,Daily,Title,lyrics
,Macklemore - Can't Hold Us,Macklemore,2011,,,,,,3235356043,1358262,Can't Hold Us,"[Intro: Macklemore] Hey, hey, hey Good to see you Come on, dude, let's go Yeah, let's go Hahaha, alright Alright, okay Uh, alright, okay Alright, okay [Verse 1: Macklemore] Return of the Mack Get 'em; what it is? What it does? What it is? What it isn't? Looking for a better way to get up outta bed Instead of getting on the Internet And checking on who hit me, get up Thrift shop, pimp-strut walkin' Little bit of humble, little bit of cautious Somewhere between like Rocky and Cosby Sweater game, nope, nope, y'all can't copy, yeah Bad, moonwalking, this here is our party My posse's been on Broadway, and we did it our way Grown music, I shed my skin and put my bones Into everything I record to it and yet I'm on Let that stage light go and shine on down Got that Bob Barker suit game and Plinko in my style Money, stay on my craft and stick around for those pounds But I do that to pass the torch and put on for my town Trust me on my I-N-D-E-P-E-N-D-E-N-T shit, hustlin' Chasing dreams since I was fourteen With the four-track, bussin' Halfway 'cross that city with the back (Back) pack (Pack), fat (Fat) cat (Cat), crushin' Labels out here, now they can't tell me nothin' (Hey, hey, hey) We give that to the people, spread it across the country (Hey, hey, hey, oh) Labels out here, now they can't tell me nothin' (Hey, hey, hey) We give it to the people, spread it across the country (Hey, hey, hey, oh) [Chorus: Ray Dalton] Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us [Verse 2: Macklemore] Now, can I kick it? Thank you Yeah, I'm so damn grateful I grew up really wanting gold fronts But that's what you get when Wu-Tang raised you Y'all can't stop me Go hard like I got a 808 in my heartbeat And I'm eating at the beat like you gave a little speed To a great white shark on  Shark Week , raw Time to go off, I'm gone Deuces, goodbye, I got a world to see And my girl, she wanna see Rome Caesar'll make you a believer Nah, I never ever did it for a throne That validation comes from giving it back to the people Now, sing a song, and it goes like Raise those hands, this is our party (Hey, hey, hey) We came here to live life like nobody was watching (Hey, hey, hey, oh) I got my city right behind me, if I fall, they got me ( Hey, hey, hey ) Learn from that failure, gain humility ( Hey, hey, hey ) And then we keep marching, I said [Chorus: Ray Dalton] Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us [Interlude] (And so we put our hands up) (And so we put our hands up) (Woah-oh, oh, oh) (Woah-oh, oh, oh) (Woah-oh, oh, oh) [Bridge: Ray Dalton and Macklemore] Let's go Na, na, na-na, na, na-na, na (Uh-huh) Hey (And all my people sing) Na, na, na-na, na, na-na, na (Hey, hey, that's right) Hey (Here we go, all right, uh) And all my people sing Na, na, na-na, na, na-na, na (You do it, Ray) Oh (Ha-ha, let's go) And all my people sing Na, na, na-na, na, na-na, na Mackle-uh, uh, uh, uh, more [Chorus: Ray Dalton] Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us Can we go back? This is the moment (Ooh) Tonight is the night, we'll fight 'til it's over (Ooh) So we put our hands up (Ooh) Like the ceiling can't hold us (Ooh) Like the ceiling can't hold us (Ooh)"
2750,Adele - Someone Like You,Adele,2011,Pop,['clap and tap'],clap and tap,Unknown,Unknown,2544821487,957328,,"[Verse 1] I heard that you're settled down That you found a girl and you're married now I heard that your dreams came true Guess she gave you things I didn't give to you Old friend, why are you so shy? Ain't like you to hold back or hide from the light [Pre-Chorus] I hate to turn up out of the blue, uninvited But I couldn't stay away, I couldn't fight it I had hoped you'd see my face And that you'd be reminded that for me, it isn't over [Chorus] Never mind, I'll find someone like you I wish nothing but the best for you, too Don't forget me, I beg I remember you said Sometimes it lasts in love, but sometimes it hurts instead Sometimes it lasts in love, but sometimes it hurts instead [Verse 2] You know how the time flies Only yesterday was the time of our lives We were born and raised in a summer haze Bound by the surprise of our glory days [Pre-Chorus] I hate to turn up out of the blue, uninvited But I couldn't stay away, I couldn't fight it I had hoped you'd see my face And that you'd be reminded that for me, it isn't over [Chorus] Never mind, I'll find someone like you I wish nothing but the best for you, too Don't forget me, I beg I remember you said Sometimes it lasts in love, but sometimes it hurts instead [Bridge] Nothing compares, no worries or cares Regrets and mistakes, they're memories made Who would have known how bittersweet this would taste? [Chorus] Never mind, I'll find someone like you I wish nothing but the best for you Don't forget me, I beg I remember you said Sometimes it lasts in love, but sometimes it hurts instead Never mind, I'll find someone like you I wish nothing but the best for you, too Don't forget me, I beg I remember you said Sometimes it lasts in love, but sometimes it hurts instead Sometimes it lasts in love, but sometimes it hurts instead"
2755,Rihanna - We Found Love,Rihanna,2011,Pop,"['barbadian pop', 'pop', 'urban contemporary']",barbadian pop,pop,urban contemporary,2411703839,1482517,,"[Verse 1] Yellow diamonds in the light And we're standin' side by side As your shadow crosses mine What it takes to come alive [Pre-Chorus] It's the way I'm feelin', I just can't deny But I've gotta let it go [Chorus] We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place [Instrumental Break] [Verse 2] Shine a light through an open door Love and life, I will divide Turn away 'cause I need you more Feel the heartbeat in my mind [Pre-Chorus] It's the way I'm feelin', I just can't deny But I've gotta let it go-ooh-oh [Chorus] We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place [Bridge] Yellow diamonds in the light And we're standin' side by side As your shadow crosses mine [Chorus] We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place [Instrumental Break] [Chorus] We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place"
2753,Gotye - Somebody That I Used To Know,Gotye,2011,Pop,['australian pop'],australian pop,Unknown,Unknown,2379790477,1098316,,"Вспоминаю времена, когда мы были вместе Ты говорила, что до смертИ счастлива была Твердил себе, что ты прям для меня Но так скучна компания твоя И это все была любовь, и боль я помню Можешь как наркотикОм увлечься своею грустью Как отставка есть в конце Всегда в конце И вот когда в ""нас"" смысл найти нельзя Ты говоришь, что мы теперь - друзья Но я признаюсь, я был рад, что все так вышло Но как могла ты вычеркнуть меня? Сделать так, что мы - никто, и Все стряслось не с нами И не нужна теперь любовь твоя  Но чужаком меня считаешь ты А это - так грубо Зачем так нужно было низко пасть: Друзей просить своих забрать вещички И сменить свой номер Я полагал, что не нуждаюсь в... но Ты теперь лишь кто-то, кого я знал Ты теперь лишь кто-то, кого я знал Ты теперь лишь кто-то, кого я знал Вспоминаю времена, когда крутил, как мог, мной Но заставлял поверить, что виновна я одна Но не хочу я больше жить не в прок Всегда читать твои слова меж строк Но ты сказал - могу идти И я бы не ловила на твоем месте кого-то, кого ты знал Но как могла ты вычеркнуть меня? Сделать так, что мы - никто, и Все стряслось не с нами И не нужна теперь любовь твоя Но чужаком меня считаешь ты А это - так грубо Зачем так нужно было низко пасть: Друзей просить своих забрать вещички И сменить свой номер Я полагал, что не нуждаюсь в... но Ты теперь лишь кто-то, кого я знал Кто-то Я знал Кого, что я знал Кто-то"
2758,Adele - Set Fire to the Rain,Adele,2011,Pop,['clap and tap'],clap and tap,Unknown,Unknown,2261048835,983871,,"[Verse 1] I let it fall, my heart And as it fell, you rose to claim it It was dark, and I was over Until you kissed my lips and you saved me My hands, they were strong But my knees were far too weak To stand in your arms Without falling to your feet [Pre-Chorus] But there's a side to you That I never knew, never knew All the things you'd say They were never true, never true And the games you'd play You would always win, always win [Chorus] But I set fire to the rain Watched it pour as I touched your face Well, it burned while I cried 'Cause I heard it screamin' out your name Your name [Verse 2] When I lay with you I could stay there, close my eyes Feel you here forever You and me together, nothing is better [Pre-Chorus] 'Cause there's a side to you That I never knew, never knew All the things you'd say They were never true, never true And the games you'd play You would always win, always win [Chorus] But I set fire to the rain Watched it pour as I touched your face Well, it burned while I cried 'Cause I heard it screamin' out your name Your name I set fire to the rain And I threw us into the flames When we fell, somethin' died 'Cause I knew that that was the last time The last time [Bridge] Sometimes, I wake up by the door That heart you caught must be waitin' for you Even now, when we're already over I can't help myself from lookin' for you [Chorus] I set fire to the rain Watched it pour as I touched your face Well, it burned while I cried 'Cause I heard it screamin' out your name Your name I set fire to the rain And I threw us into the flames When we fell, somethin' died 'Cause I knew that that was the last time The last time [Outro] Oh Oh, no Let it burn Oh Let it burn Let it burn [Produced by Fraser T. Smith]"
2756,Christina Perri - a thousand years,Christina Perri,2011,Pop,['pop'],pop,Unknown,Unknown,2208314718,930531,,"[Verse 1: London] Love stains and, anger pertains fear, pain (yeah) How to let go? Who do I trust when I’m alone? Its okay, jealousy dies, fades away Where our problems they go, hate cannot change our fate today [Pre-Chorus: Christina Perri] One step closer [Chorus: London, Christina Perri, London & Christina Perri] I have died every day waiting for you Love is peace, my fears are faint, cause I have got you For a thousand years And i'll love you for a thousand more [Verse 2: London] Drinks, late nights, laughing it out, sparks fly Finding out love, finding my path through all this mess Burst, strikes, passionate dance, romantic desirеs Can you feel the flames of the firе burning bright? [Verse 3: London] Kiss, hugs, tired? I'm falling in love Sent from the gods, you’re my heaven You're the peace of my trust from up above Last breaths, my angels gone wild You tamed me i'm dialed The souls of my dark side reside now [Pre-Chorus: Christina Perri] One step closer [Chorus: London, Christina Perri, London & Christina Perri] You blessed my heart  and make me smile, since I have known you And I'm a fool to not have seen, that I have found you For a thousand years I'll keep you for a thousand more Mistakes were made, reminded of the times I hurt you But you’re okay, I know you're strong, im none without you For a thousand years I’ll love you for a thousand more [Interlude] [Pre-Chorus: Christina Perri] One step closer One step closer [Chorus: London] I cannot live a day when i'm without you Fallen in, into the abyss, now I will find you For a thousand years I'll save you for a thousand more Im never lost, directions clear when I have got you When im away I think of you, remind me of you For a million years I’ll love for a trillion more"
2757,David Guetta - Titanium,David Guetta,2011,Electronic/Dance,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",big room,dance pop,edm,2207703853,1133783,,"[Verse 1: Sia] You shout it out, but I can't hear a word you say I'm talking loud, not saying much I'm criticized, but all your bullets ricochet You shoot me down, but I get up [Chorus: Sia] I'm bulletproof, nothing to lose Fire away, fire away Ricochet, you take your aim Fire away, fire away You shoot me down, but I won't fall I am titanium You shoot me down, but I won't fall I am titanium I am titanium I am titanium [Verse 2: Sia] Cut me down, but it's you who'll have further to fall Ghost town and haunted love Raise your voice, sticks and stones may break my bones Talking loud, not saying much [Chorus: Sia] I'm bulletproof, nothing to lose Fire away, fire away Ricochet, you take your aim Fire away, fire away You shoot me down, but I won't fall I am titanium You shoot me down, but I won't fall I am titanium I am titanium I am titanium I am titanium"
,Maroon 5 - Moves Like Jagger,Maroon 5,2011,,,,,,2075495046,1075211,Moves Like Jagger,"[Intro: Adam Levine] Oh, na Oh [Verse 1: Adam Levine] Just shoot for the stars if it feels right Then aim for my heart if you feel like it Take me away, and make it okay I swear I'll behave You wanted control, so we waited I put on a show, now we're naked You say I'm a kid, my ego is big I don't give a shit [Chorus: Adam Levine] And it goes like this (Uh) Take me by the tongue and I'll know you (Uh) Kiss me 'til you're drunk and I'll show you All the moves like Jagger I've got them moves like Jagger I've got them moves like Jagger (Uh) I don't need to try to control you (Uh) Look into my eyes and I'll own you With them moves like Jagger I've got them moves like Jagger I've got them moves like Jagger [Verse 2: Adam Levine] Maybe it's hard when you feel like You're broken and scarred, nothing feels right But when you're with me, I'll make you believe That I've got the key Oh, so get in the car, we can ride it Wherever you want, get inside it And you wanna steer, but I'm shifting gears I'll take it from here (Oh, yeah, yeah) [Chorus: Adam Levine & Christina Aguilera] And it goes like this (Uh) Take me by the tongue and I'll know you (Uh) Kiss me 'til you're drunk and I'll show you All the moves like Jagger I've got them moves like Jagger I've got them moves like Jagger (Woo, uh) I don't need to try to control you (Oh, yeah, uh) Look into my eyes and I'll own you With them moves like Jagger I've got them moves like Jagger ( Yeah, yeah, yeah ) I've got them moves like Jagger [Verse 3: Christina Aguilera] Uh, you wanna know how to make me smile? Take control, own me just for the night (Ah) And if I share my secret, you're gonna have to keep it (Shh) Nobody else can see this (Ah, uh) So watch and learn, I won't show you twice Head to toe, ooh, baby, rub me right, yeah And if I share my secret, you're gonna have to keep it Nobody else can see this, hey, hey, hey, yeah [Chorus: Adam Levine & Christina Aguilera] And it goes like this (Uh) Take me by the tongue and I'll know you ( Take me by the tongue , uh) Kiss me 'til you're drunk and I'll show you (Yeah, yeah) All the moves like Jagger I've got them moves like Jagger I've got them moves like Jagger ( Oh, yeah , woo, uh) I don't need to try to control you (Yeah, ooh, uh) Look into my eyes and I'll own you (Oh-oh) With them moves like Jagger I've got them moves like Jagger I've got them moves like Jagger"
2763,Pitbull - Give Me Everything,Pitbull,2011,Pop,"['dance pop', 'miami hip hop', 'pop']",dance pop,miami hip hop,pop,1993096447,1586773,,"[Intro: Pitbull] Me not workin' hard? Yeah, right, picture that with a Kodak Or, better yet, go to Times Square Take a picture of me with a Kodak Took my life from negative to positive I just want y'all to know that And tonight, let's enjoy life Pitbull, Nayer, Ne-Yo, that's right [Pre-Chorus: Ne-Yo & Nayer] Tonight, I want all of you tonight Give me everything tonight For all we know We might not get tomorrow, let's do it tonight Don't care what they say or what games they play Nothing is enough 'til I have your love (Let's do it tonight) I want you tonight, I want you to stay I want you tonight [Chorus: Ne-Yo] Grab somebody sexy, tell 'em, ""Hey"" (Ayy) Give me everything tonight (Ayy) Give me everything tonight (Ooh-ooh-ooh-ohh, ayy) Give me everything tonight (Ooh-ooh-ooh-ohh, ayy) Give me everything tonight [Verse 1: Pitbull] Take advantage of tonight (Yeah) 'Cause tomorrow I'm off to Dubai to perform for a princess But tonight, I can make you my queen And make love to you endless (Yeah) It's insane, the way the name growin' (Hey, hey) Money keep flowin', hustlers move in silence (Hey, hey, hey, hey) So, I'm tiptoein', to keep blowin' (Hey, hey, hey, hey) I got it locked up like Lindsay Lohan (Hey, hey, woo) [Bridge: Pitbull] I put it on my life, baby (Heh) I'll make ya feel right, baby Can't promise tomorrow But I promise tonight, dale (Woo) [Refrain: Pitbull] Excuse me (Excuse me) And I might drink a little more than I should tonight (I should tonight) And I might take you home with me if I could tonight (I could tonight) And baby, I'ma make you feel so good tonight (Good) 'Cause we might not get tomorrow, woo [Pre-Chorus: Ne-Yo & Nayer] Tonight, I want all of you tonight Give me everything tonight For all we know We might not get tomorrow, let's do it tonight Don't care what they say or what games they play Nothing is enough 'til I have your love (Let's do it tonight) I want you tonight, I want you to stay I want you tonight [Chorus: Ne-Yo] Grab somebody sexy, tell 'em, ""Hey"" (Ayy) Give me everything tonight (Ayy) Give me everything tonight (Ooh-ooh-ooh-ohh, ayy) Give me everything tonight (Ooh-ooh-ooh-ohh, ayy) Give me everything tonight [Verse 2: Pitbull] Reach for the stars, and if you don't grab them, at least you'll fall on top of the world Think about it, 'cause if you slip, I'm gon' fall on top of your girl, ha-ha-ha-ha What I'm involved with is deeper than the Mason's baby, baby, and it ain't no secret My family's from Cuba, but I'm an American idol gettin' money like Seacrest (Yeah) [Bridge: Pitbull] Put it on my life, baby (Baby) I'll make you feel right, baby (Baby) Can't promise tomorrow (Nah) But I promise tonight, dale (Woo) [Refrain: Pitbull & Ne-Yo] Excuse me (Excuse me) And I might drink a little more than I should tonight (I should tonight) And I might take you home with me if I could tonight (I could tonight) And, baby, I'ma make you feel so good, tonight (Good) 'Cause we might not get tomorrow, woo (Ooh) [Pre-Chorus: Ne-Yo & Nayer] Tonight, I want all of you tonight Give me everything tonight For all we know We might not get tomorrow, let's do it tonight Don't care what they say or what games they play Nothing is enough 'til I have your love (Let's do it tonight) I want you tonight, I want you to stay I want you tonight [Chorus: Ne-Yo] Grab somebody sexy, tell 'em, ""Hey"" (Ayy) Give me everything tonight (Ayy) Give me everything tonight (Ooh-ooh-ooh-ohh, ayy) Give me everything tonight (Ooh-ooh-ooh-ohh, ayy) Give me everything tonight [Refrain: Pitbull & Ne-Yo] Excuse me (Excuse me) And I might drink a little more than I should tonight (I should tonight) And I might take you home with me if I could tonight (I could tonight) And, baby, I'ma make you feel so good, tonight (Good) 'Cause we might not get tomorrow, woo (Get tomorrow)"
,Carly Rae Jepsen - Call Me Maybe,Carly Rae Jepsen,2011,,,,,,1940351470,985532,Call Me Maybe,"[Verse 1] I threw a wish in the well Don't ask me, I'll never tell I looked to you as it fell And now you're in my way I trade my soul for a wish Pennies and dimes for a kiss I wasn't lookin' for this But now you're in my way [Pre-Chorus] Your stare was holdin' Ripped jeans, skin was showin' Hot night, wind was blowin' Where you think you're goin', baby? [Chorus] Hey, I just met you, and this is crazy But here's my number, so call me maybe It's hard to look right at you, baby But here's my number, so call me maybe Hey, I just met you, and this is crazy But here's my number, so call me maybe And all the other boys try to chase me But here's my number, so call me maybe [Verse 2] You took your time with the call I took no time with the fall You gave me nothin' at all But still, you're in my way I beg and borrow and steal At first sight, and it's real I didn't know I would feel it But it's in my way [Pre-Chorus] Your stare was holdin' Ripped jeans, skin was showin' Hot night, wind was blowin' Where you think you're goin', baby? [Chorus] Hey, I just met you, and this is crazy But here's my number, so call me maybe It's hard to look right at you, baby But here's my number, so call me maybe Hey, I just met you, and this is crazy But here's my number, so call me maybe And all the other boys try to chase me But here's my number, so call me maybe [Post-Chorus] Before you came into my life, I missed you so bad I missed you so bad, I missed you so, so bad Before you came into my life, I missed you so bad And you should know that, I missed you so, so bad [Bridge] It's hard to look right at you, baby But here's my number, so call me maybe [Chorus] Hey, I just met you, and this is crazy But here's my number, so call me maybe And all the other boys try to chase me But here's my number, so call me maybe [Post-Chorus] Before you came into my life, I missed you so bad I missed you so bad, I missed you so, so bad Before you came into my life, I missed you so bad And you should know that, so call me maybe"
