Unnamed: 0,Artist and Title,Artist,Year,main_genre,genres,first_genre,second_genre,third_genre,Streams,Daily,Title
1548.0,Bruno Mars - Just the Way You Are,Bruno Mars,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,3160952685,1655160,
,Lucenzo - Danza Kuduro,Lucenzo,2010,,,,,,2439769586,1725889,Danza Kuduro
,Foster The People - Pumped Up Kicks,Foster The People,2010,,,,,,2406311498,907727,Pumped Up Kicks
,Adele - Rolling in the Deep,Adele,2010,,,,,,2338563199,844474,Rolling in the Deep
1550.0,Eminem - Love The Way You Lie,Eminem,2010,Hip-Hop/Rap,"['detroit hip hop', 'hip hop', 'rap']",detroit hip hop,hip hop,rap,2138753022,1163675,
1554.0,Bruno Mars - Talking to the Moon,Bruno Mars,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,2034933490,1177526,
1553.0,Miguel - Sure Thing,Miguel,2010,R&B/Soul,"['r&b', 'urban contemporary']",r&b,urban contemporary,Unknown,2026965064,1113925,
1555.0,Bruno Mars - Grenade,Bruno Mars,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,1883802205,1024484,
1556.0,Katy Perry - Last Friday Night (T.G.I.F.),Katy Perry,2010,Pop,['pop'],pop,Unknown,Unknown,1789221487,1085693,
1557.0,Rihanna - Only Girl (In The World),Rihanna,2010,Pop,"['barbadian pop', 'pop', 'urban contemporary']",barbadian pop,pop,urban contemporary,1761726434,1480275,
1560.0,Rihanna - S&M,Rihanna,2010,Pop,"['barbadian pop', 'pop', 'urban contemporary']",barbadian pop,pop,urban contemporary,1612108500,1329677,
1563.0,Plan B - Es un Secreto,Plan B,2010,World/Traditional,"['reggaeton', 'trap latino', 'urbano latino']",reggaeton,trap latino,urbano latino,1578293339,1199605,
1561.0,Bruno Mars - Marry You,Bruno Mars,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,1535745412,931479,
1558.0,Katy Perry - Firework,Katy Perry,2010,Pop,['pop'],pop,Unknown,Unknown,1475677780,606248,
1564.0,Justin Bieber - Baby,Justin Bieber,2010,Pop,"['canadian pop', 'pop']",canadian pop,pop,Unknown,1457565895,883579,
1566.0,Katy Perry - The One That Got Away,Katy Perry,2010,Pop,['pop'],pop,Unknown,Unknown,1409463945,1018008,
1559.0,Taio Cruz - Dynamite,Taio Cruz,2010,Pop,"['dance pop', 'pop', 'pop rap']",dance pop,pop,pop rap,1387478515,545470,
1568.0,USHER - DJ Got Us Fallin' In Love,USHER,2010,Hip-Hop/Rap,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",atl hip hop,contemporary r&b,dance pop,1348776740,970968,
1565.0,Bruno Mars - The Lazy Song,Bruno Mars,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,1347423192,720184,
1562.0,Eminem - Not Afraid,Eminem,2010,Hip-Hop/Rap,"['detroit hip hop', 'hip hop', 'rap']",detroit hip hop,hip hop,rap,1280778155,449546,
1571.0,Katy Perry - California Gurls,Katy Perry,2010,Pop,['pop'],pop,Unknown,Unknown,1265584523,787320,
1567.0,Kanye West - POWER,Kanye West,2010,Hip-Hop/Rap,"['chicago rap', 'hip hop', 'rap']",chicago rap,hip hop,rap,1149533065,467480,
1577.0,Katy Perry - Teenage Dream,Katy Perry,2010,Pop,['pop'],pop,Unknown,Unknown,1132643297,584561,
1569.0,Nicki Minaj - Super Bass,Nicki Minaj,2010,Pop,"['hip pop', 'pop', 'queens hip hop', 'rap']",hip pop,pop,queens hip hop,1123701342,358834,
1579.0,Kanye West - Runaway,Kanye West,2010,Hip-Hop/Rap,"['chicago rap', 'hip hop', 'rap']",chicago rap,hip hop,rap,1118560893,768763,
1573.0,Two Door Cinema Club - What You Know,Two Door Cinema Club,2010,Rock,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie']",indie rock,indietronica,irish rock,1110103349,479874,
1572.0,Shakira - Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],Shakira,2010,Pop,"['colombian pop', 'dance pop', 'latin pop', 'pop']",colombian pop,dance pop,latin pop,1039287662,276791,
1576.0,B.o.B - Airplanes,B.o.B,2010,Rock,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",emo,modern rock,pop,1011594021,463491,
1574.0,Taylor Swift - Enchanted,Taylor Swift,2010,Pop,['pop'],pop,Unknown,Unknown,1002817312,279129,
1585.0,Waka Flocka Flame - No Hands,Waka Flocka Flame,2010,Hip-Hop/Rap,"['atl hip hop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",atl hip hop,dirty south rap,pop rap,986507815,1126469,
1588.0,Sean Kingston - Eenie Meenie,Sean Kingston,2010,Pop,"['dance pop', 'miami hip hop', 'pop']",dance pop,miami hip hop,pop,978533730,1060186,
1591.0,Gorillaz - On Melancholy Hill,Gorillaz,2010,Hip-Hop/Rap,"['alternative hip hop', 'modern rock', 'rock']",alternative hip hop,modern rock,rock,976790653,852956,
,AWOLNATION - Sail,AWOLNATION,2010,,,,,,945900970,189382,Sail
