Unnamed: 0,Artist and Title,Artist,Year,main_genre,genres,first_genre,second_genre,third_genre,Streams,Daily,Title,lyrics
1548.0,Bruno Mars - Just the Way You Are,Bruno Mars,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,3160952685,1655160,,"[Intro]
Oh
Oh
Oh
Oh

[Verse 1]
Oh, her eyes, her eyes make the stars look like they're not shinin'
Her hair, her hair falls perfectly without her tryin'
She's so beautiful, uh
And I tell her every day
Yeah, I know, I know, when I compliment her, she won't believe me
And it's so, it's so sad to think that she don't see what I see
But every time she asks me, ""Do I look okay?""
I say

[Chorus]
When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are
Yeah

[Verse 2]
Her lips, her lips, I could kiss them all day if she'd let me
Her laugh, her laugh, she hates, but I think it's so sexy
She's so beautiful, uh
And I tell her every day
Oh, you know, you know, you know I'd never ask you to change
If perfect's what you're searching for, then just stay the same
So don't even bother askin' if you look okay
You know I'll say

[Chorus]
When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are

[Bridge]
The way you are
The way you are
Girl, you're amazing
Just the way you are

[Chorus]
When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are
Yeah"
,Lucenzo - Danza Kuduro,Lucenzo,2010,,,,,,2439769586,1725889,Danza Kuduro,"[Letra de ""Danza Kuduro"" ft. Lucenzo, Pitbull & El Cata]

[Intro: Don Omar]
A&X
El Orfanato
¡Danza Kuduro!
(Plop, plop, plop, plop, plop, plop, plop)
¡Lucenzo!
(El Orfanato)
¡El Rey!

[Coro: Don Omar,Pitbull]
La mano arriba, cintura sola
Da media vuelta, danza kuduro
No te canse' ahora que esto solo empieza
Mueve la cabeza, danza kuduro
La mano arriba, cintura sola
Da media vuelta, danza kuduro
No te canse' ahora que esto solo empieza
Mueve la cabeza, danza kuduro
Carita linda
Labios sexy
Tremendos muslos
Tremendo culo
Ella es loquita
Le encanta la fiesta
Pelo largo con las lineas hechas

[Verso 1: Pitbull]
Ya llego el mounstro de la fiesta
Yo no quiero VIP ni la mesa
Yo mе quedo en la barra con mi gentе
En la lucha siempre
Cuantas mujeres el tiene? Como 20
Yo te hablo claro pa que estemos mas claro que cloro
Que se quede con los diamantes y el oro
Que yo soy el lobo
One life, two worlds
English, Spanish
One night, two girls
English, Spanish

[Coro: Pitbull]
Carita linda
Labios sexy
Tremendos muslos
Tremendo culo
Ella es loquita
Le encanta la fiesta
Pelo largo con las lineas hechas

[Refrán: Lucenzo]
Mexe kuduro
Balança que é uma loucura
Morena, vem a meu lado
Ninguém vai ficar parado
Quero ver mexer kuduro
Balança que é uma loucura
Morena, vem a meu lado
Ninguém vai ficar parado, oh-oh-oh

[Pre-Coro: Lucenzo]
Oi, oi, oi
Oi, oi, oi, oi
É pa' quebrar kuduro
Vamos dançar kuduro
Oi, oi, oi
Oi, oi, oi, oi
Seja morena ou loira
Vem balançar kuduro
Oi, oi, oi

[Coro: Don Omar,Pitbull]
La mano arriba, cintura sola
Da media vuelta, danza kuduro
No te canse' ahora que esto solo empieza
Mueve la cabeza, danza kuduro
La mano arriba, cintura sola
Da media vuelta, danza kuduro
No te canse' ahora que esto solo empieza
Mueve la cabeza, danza kuduro
Carita linda
Labios sexy
Tremendos muslos
Tremendo culo
Ella es loquita
Le encanta la fiesta
Pelo largo con las lineas hechas


[Refrán: Lucenzo]
Balança que é uma loucura
Morena, vem a meu lado
Ninguém vai ficar parado
Quero ver mexer kuduro
Balança que é uma loucura
Morena, vem a meu lado
Ninguém vai ficar parado

[Pre-Coro: Lucenzo & Don Omar]
Oi, oi, oi
Oi, oi, oi, oi
É pa' quebrar kuduro
Vamos dançar kuduro
Oi, oi, oi
Oi, oi, oi, oi
Seja morena ou loira
Vem balançar kuduro
Oi, oi, oi
¡El Orfanato!


[Coro: Don Omar,Pitbull]
La mano arriba (Vai, vai; vuelta), cintura sola (Vai, vai; vuelta)
Da media vuelta (Vai, vai; vuelta), danza kuduro (Vai, vai; vuelta)
No te canse' ahora (Vai, vai; vuelta) que esto solo empieza (Vai, vai; vuelta)
Mueve la cabeza (Vai, vai; vuelta), danza kuduro (Vai, vai; vuelta)
Carita linda
Labios sexy
Tremendos muslos
Tremendo culo
Ella es loquita
Le encanta la fiesta
Pelo largo con las lineas hechas

[Outro: Don Omar]
A&X (A&X)"
,Foster The People - Pumped Up Kicks,Foster The People,2010,,,,,,2406311498,907727,Pumped Up Kicks,"[Verse 1]
Robert's got a quick hand
He'll look around the room, he won't tell you his plan
He's got a rolled cigarette
Hanging out his mouth, he's a cowboy kid
Yeah, he found a six-shooter gun
In his dad's closet with a box of fun things
I don't even know what
But he's coming for you, yeah, he's coming for you, wait

[Chorus]
All the other kids with the pumped-up kicks
You better run, better run, outrun my gun
All the other kids with the pumped-up kicks
You better run, better run faster than my bullet
All the other kids with the pumped-up kicks
You better run, better run, outrun my gun
All the other kids with the pumped-up kicks
You better run, better run faster than my bullet

[Verse 2]
Daddy works a long day
He be coming home late, and he's coming home late
And he's bringing me a surprise
'Cause dinner's in the kitchen, and it's packed in ice
I've waited for a long time
Yeah, the sleight of my hand is now a quick-pull trigger
I reason with my cigarette
And say, ""Your hair's on fire, you must've lost your wits,"" yeah

[Chorus]
All the other kids with the pumped-up kicks
You better run, better run, outrun my gun
All the other kids with the pumped-up kicks
You better run, better run faster than my bullet
All the other kids with the pumped-up kicks
You better run, better run, outrun my gun
All the other kids with the pumped-up kicks
You better run, better run faster than my bullet

[Bridge]
Run, run, run, run
Ru-ru-ru-run, run, run
Ru-ru-ru-ru-run, run, run, run
Ru-ru-ru-run
Run, run, ru-run, run

[Chorus]
All the other kids with the pumped-up kicks
You better run, better run, outrun my gun
All the other kids with the pumped-up kicks
You better run, better run faster than my bullet
All the other kids with the pumped-up kicks
You better run, better run, outrun my gun
All the other kids with the pumped-up kicks
You better run, better run faster than my bullet
All the other kids with the pumped-up kicks
You better run, better run, outrun my gun
All the other kids with the pumped-up kicks
You better run, better run faster than my bullet"
,Adele - Rolling in the Deep,Adele,2010,,,,,,2338563199,844474,Rolling in the Deep,"[Verse 1]
There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark
Finally, I can see you crystal clear
Go ahead and sell me out and I'll lay your shit bare
See how I'll leave with every piece of you
Don't underestimate the things that I will do
There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark

[Pre-Chorus]
The scars of your love remind me of us
They keep me thinkin' that we almost had it all
The scars of your love, they leave me breathless
I can't help feeling

[Chorus]
We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
And you played it to the beat (Tears are gonna fall, rolling in the deep)

[Verse 2]
Baby, I have no story to be told
But I've heard one on you, now I'm gonna make your head burn
Think of me in the depths of your despair
Make a home down there, as mine sure won't be shared

[Pre-Chorus]
(You're gonna wish you never had met me) The scars of your love remind me of us
(Tears are gonna fall, rolling in the deep) They keep me thinkin' that we almost had it all
(You're gonna wish you never had met me) The scars of your love, they leave me breathless
(Tears are gonna fall, rolling in the deep) I can't help feeling

[Chorus]
We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
And you played it to the beat (Tears are gonna fall, rolling in the deep)
Could've had it all
Rolling in the deep
You had my heart inside of your hand
But you played it with a beating

[Bridge]
Throw your soul through every open door (Ooh woah, oh)
Count your blessings to find what you look for (Woah)
Turn my sorrow into treasured gold (Ooh woah, oh)
You'll pay me back in kind and reap just what you've sown

[Breakdown]
(You're gonna wish you never had met me)
We could've had it all (Tears are gonna fall, rolling in the deep)
We could've had it all, yeah (You're gonna wish you never had met me)
It all, it all, it all (Tears are gonna fall, rolling in the deep)

[Chorus]
We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
And you played it to the beat (Tears are gonna fall, rolling in the deep)
Could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
But you played it, you played it, you played it
You played it to the beat"
1550.0,Eminem - Love The Way You Lie,Eminem,2010,Hip-Hop/Rap,"['detroit hip hop', 'hip hop', 'rap']",detroit hip hop,hip hop,rap,2138753022,1163675,,"[Chorus: Rihanna]
Just gonna stand there and watch me burn?
Well, that's all right because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's all right because I love the way you lie
I love the way you lie

[Verse 1: Eminem]
I can't tell you what it really is, I can only tell you what it feels like
And right now, there's a steel knife in my windpipe
I can't breathe, but I still fight while I can fight
As long as the wrong feels right, it's like I'm in flight
High off of love, drunk from my hate
It's like I'm huffin' paint and I love her, the more I suffer, I suffocate
And right before I'm about to drown, she resuscitates me
She fuckin' hates me, and I love it — ""Wait
Where you goin'?"" — ""I'm leavin' you"" — ""No, you ain't
Come back"" — We're runnin' right back, here we go again
It's so insane, 'cause when it's goin' good, it's goin' great
I'm Superman with the wind at his back, she's Lois Lane
But when it's bad, it's awful, I feel so ashamed
I snapped, ""Who's that dude?"", I don't even know his name
I laid hands on her, I'll never stoop so low again
I guess I don't know my own strength

[Chorus: Rihanna]
Just gonna stand there and watch me burn?
Well, that's all right because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's all right because I love the way you lie
I love the way you lie
I love the way you lie

[Verse 2: Eminem]
You ever love somebody so much you can barely breathe when you're with 'em?
You meet, and neither one of you even know what hit 'em
Got that warm fuzzy feelin', yeah, them chills, used to get 'em
Now you're gettin' fuckin' sick of lookin' at 'em?
You swore you'd never hit 'em, never do nothin' to hurt 'em
Now you're in each other's face, spewin' venom in your words when you spit 'em
You push, pull each other's hair, scratch, claw, bit 'em
Throw 'em down, pin 'em, so lost in the moments when you're in 'em
It's the rage that's the culprit, it controls you both
So they say you're best to go your separate ways
Guess that they don't know ya 'cause today, that was yesterday
Yesterday is over, it's a different day
Sound like broken records playin' over but you promised her
Next time you'll show restraint, you don't get another chance
Life is no Nintendo game but you lied again
Now you get to watch her leave out the window
Guess that's why they call it window pane

[Chorus: Rihanna]
Just gonna stand there and watch me burn?
Well, that's all right because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's all right because I love the way you lie
I love the way you lie
I love the way you lie

[Verse 3: Eminem]
Now, I know we said things, did things that we didn't mean
And we fall back into the same patterns, same routine
But your temper's just as bad as mine is, you're the same as me
When it comes to love, you're just as blinded, baby, please
Come back, it wasn't you, baby, it was me
Maybe our relationship isn't as crazy as it seems
Maybe that's what happens when a tornado meets a volcano
All I know is I love you too much to walk away though
Come inside, pick up your bags off the sidewalk
Don't you hear sincerity in my voice when I talk?
Told you this is my fault, look me in the eyeball
Next time I'm pissed, I'll aim my fist at the drywall
Next time? There won't be no next time
I apologize, even though I know it's lies
I'm tired of the games, I just want her back, I know I'm a liar
If she ever tries to fuckin' leave again, I'ma tie her
To the bed and set this house on fire, just gonna

[Chorus: Rihanna]
Just gonna stand there and watch me burn?
Well, that's all right because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's all right because I love the way you lie
I love the way you lie
I love the way you lie"
1554.0,Bruno Mars - Talking to the Moon,Bruno Mars,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,2034933490,1177526,,"[Verse 1]
I know you're somewhere out there, somewhere far away
I want you back, I want you back
My neighbors think I'm crazy, but they don't understand
You're all I had, you're all I had

[Pre-Chorus]
At night when the stars light up my room
I sit by myself

[Chorus]
Talkin' to the moon
Tryna get to you
In hopes you're on the other side talkin' to me, too
Or am I a fool who sits alone
Talkin' to the moon?
Oh

[Verse 2]
I'm feeling like I'm famous, the talk of the town
They say I've gone mad, yeah, I've gone mad
But they don't know what I know, 'cause when the sun goes down
Someone's talkin' back, yeah, they're talkin' back, oh

[Pre-Chorus]
At night when the stars light up my room
I sit by myself

[Chorus]
Talkin' to the moon
Tryna get to you
In hopes you're on the other side talkin' to me, too
Or am I a fool who sits alone
Talkin' to the moon?

[Bridge]
Oh-oh, oh-oh, oh-oh
Do you ever hear me callin'?
Oh-oh (Oh-oh-oh), oh-oh (Oh-oh-oh)
Oh-oh

[Chorus]
'Cause every night, I'm talkin' to the moon
Still tryna get to you
In hopes you're on the other side talkin' to me, too
Or am I a fool who sits alone
Talkin' to the moon?
Oh

[Outro]
I know you're somewhere out there, somewhere far away"
1553.0,Miguel - Sure Thing,Miguel,2010,R&B/Soul,"['r&b', 'urban contemporary']",r&b,urban contemporary,Unknown,2026965064,1113925,,"[Intro]
Love you like a brother
Treat you like a friend
Respect you like a lover

[Refrain]
Oh-ooh-oh, oh-ooh-oh, oh-ooh-oh (You could bet that, never gotta sweat that
)
Oh-ooh-oh, oh-ooh-oh, oh (
You could bet that, never gotta sweat that
)
Yeah, yeah, yeah (
You could bet that, never gotta sweat that
)
(
You could 
bet
 that, never gotta sweat that
) Yeah

[Verse 1]
If you be the cash, I'll be the rubber band
You be the match, I will be a fuse, boom!
Painter, baby, you could be the muse
I'm the reporter, baby, you could be the news
'Cause you're the cigarette and I'm the smoker
We raise a bet 'cause you're the joker
Checked off, you are the chalk
And I could be the blackboard, you can be the talk
And I can be the walk, yeah-eah

[Chorus]
Even when the sky comes fallin'
Even when the sun don't shine
I got faith in you and I
So put your pretty little hand in mine
Even when we're down to the wire, babe
Even when it's do or die
We could do it, baby, simple and plain
'Cause this love is a sure thing, yeah

[Refrain]
(You could bet that, never gotta sweat that) Oh yeah, yeah
(You could bet that, never gotta sweat that)
(You could bet that, never gotta sweat that)
(You could bet that, never gotta sweat that)

[Verse 2]
You could be the lover, I'd be the fighter, babe
If I'm the blunt (Uh), you could be the lighter, babe, fire it up!
Writer, baby, you could be the quote, yeah (Uh)
If I'm the lyric, baby, you could be the note (Uh), record that!
Saint, I'm a sinner, prize, I'm a winner
And it's you, what did I do to deserve that?
Paper, baby, I'll be the pen
Say that I'm the one 'cause you are a ten
Real and not pretend

[Chorus]
Even when the sky comes fallin' (Yeah, yeah, yeah, yeah, yeah, yeah)
Even when the sun don't shine
I got faith in you and I
So put your pretty little hand in mine
(You could bet that, never gotta sweat that) Even when we're down to the wire, babe
(You could bet that, never gotta sweat that) Even when it's do or die
(You could bet that, never gotta sweat that) We could do it, baby, simple and plain
(You could bet that, never gotta sweat that) 'Cause this love is a sure thing, yeah

[Bridge]
Uh, now rock with me, babe
And let me hold you in my arms, talk with me, babe, yeah-yeah
Uh, now rock with me, babe
And let me hold you in my arms, talk with me, babe, yeah-yeah
This love between you and I is simple as pie, baby
It's such a sure thing, it's such a sure thing
Oh, it's such a sure thing, yeah, yeah, yeah, yeah (It's such a sure thing)

[Chorus]
(You could bet that, never gotta sweat that) Even when the sky comes fallin' (Yeah)
(You could bet that, never gotta sweat that) Even when the sun don't shine
(You could bet that, never gotta sweat that) I got faith in you and I
(You could bet that, never gotta sweat that) So put your pretty little hand in mine
(You could bet that, never gotta sweat that) Even when we're down to the wire, babe
(You could bet that, never gotta sweat that) Even when it's do or die
(You could bet that, never gotta sweat that) We could do it, baby, simple and plain
(You could bet that, never gotta sweat that) 'Cause this love is a sure thing

[Outro]
(You could bet that, never gotta sweat that) Love you like a brother
(You could bet that, never gotta sweat that) Treat you like a friend
(You could bet that, never gotta sweat that) Respect you like a lover
(You could bet that, never gotta sweat that) Oh-ooh-oh, oh-ooh-oh, oh-ooh-oh"
1555.0,Bruno Mars - Grenade,Bruno Mars,2010,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown,1883802205,1024484,,"[Verse 1]
Easy come, easy go, that's just how you live, oh
Take, take, take it all, but you never give
Shoulda known you was trouble from the first kiss
Had ya eyes wide open, uh, why were they open?

[Pre-Chorus]
(Woo-ooh) Gave you all I had, and you tossed it in the trash
(Woo-ooh) You tossed it in the trash, you did
(Woo-ooh) To give me all your love is all I ever asked
'Cause what ya don't understand is

[Chorus]
I'd catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah), oh-oh-oh-oh-oh
I would go through all this pain (Ooh)
Take a bullet straight through my brain (Ooh-ooh-ooh-ooh)
Yes, I would die for you, baby (Ooh)
But you won't do the same

[Post-Chorus]
No, no, no, no-oh-oh-oh
Uh

[Verse 2]
Black, black, black and blue, beat me 'til I'm numb
Tell the devil I said ""hey"" when you get back to where you're from
Mad woman, bad woman, that's just what you are
Yeah, you'll smile in my face, then rip the brakes out my car

[Pre-Chorus]
(Woo-ooh) Gave you all I had, and you tossed it in the trash
(Woo-ooh) You tossed it in the trash, yes, you did
(Woo-ooh) To give me all your love is all I ever asked
'Cause what you don't understand is

[Chorus]
I'd catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah), oh-oh-oh-oh-oh
I would go through all this pain (Ooh)
Take a bullet straight through my brain (Ooh-ooh-ooh-ooh)
Yes, I would die for you, baby (Ooh)
But you won't do the same

[Bridge]
(No) If my body was on fire
(No) Ooh, you'd watch me burn down in flames
(No) You said you loved me, you're a liar
'Cause you never, ever, ever did, baby

[Chorus]
(Uh) But darlin', I'd still catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah), ooh-ooh-ooh-ooh-ooh
I would go through all this pain (Ooh)
Take a bullet straight through my brain (Ooh-ooh-ooh-ooh)
Yes, I would die for you, baby (Ooh)
But you won't do the same

[Outro]
No, you won't do the same
You wouldn't do the same
Ooh, you'd never do the same
No, no, no, no, oh-woah-oh"
1556.0,Katy Perry - Last Friday Night (T.G.I.F.),Katy Perry,2010,Pop,['pop'],pop,Unknown,Unknown,1789221487,1085693,,"[Verse 1]
There's a stranger in my bed
There's a pounding in my head
Glitter all over the room
Pink flamingos in the pool
I smell like a minibar
DJ's passed out in the yard
Barbies on the barbecue
This a hickey or a bruise?

[Pre-Chorus]
Pictures of last night ended up online
I'm screwed, oh well
It's a blacked-out blur, but I'm pretty sure it ruled
Damn

[Chorus]
Last Friday night, yeah, we danced on tabletops
And we took too many shots, think we kissed, but I forgot
Last Friday night, yeah, we maxed our credit cards
And got kicked out of the bar, so we hit the boulevard
Last Friday night, we went streaking in the park
Skinny dipping in the dark then had a ménage à trois
Last Friday night, yeah, I think we broke the law
Always say we're gonna stop-op, oh-woah

[Post-Chorus]
But this Friday night
Do it all again
But this Friday night
Do it all again

[Verse 2]
Trying to connect the dots
Don't know what to tell my boss
Think the city towed my car
Chandelier is on the floor
Ripped my favorite party dress
Warrant's out for my arrest
Think I need a ginger ale
That was such an epic fail

[Pre-Chorus]
Pictures of last night ended up online
I'm screwed, oh well
It's a blacked-out blur, but I'm pretty sure it ruled
Damn

[Chorus]
Last Friday night, yeah, we danced on tabletops
And we took too many shots, think we kissed, but I forgot
Last Friday night, yeah, we maxed our credit cards
And got kicked out of the bar, so we hit the boulevard
Last Friday night, we went streaking in the park
Skinny dipping in the dark then had a ménage à trois
Last Friday night, yeah, I think we broke the law
Always say we're gonna stop-op, oh-woah

[Post-Chorus]
But this Friday night
Do it all again (Do it all again)
This Friday night
Do it all again (Do it all again)
This Friday night

[Bridge]
T.G.I.F., T.G.I.F., T.G.I.F
T.G.I.F., T.G.I.F., T.G.I.F

[Saxophone Solo]

[Chorus]
Last Friday night, yeah, we danced on tabletops
And we took too many shots, think we kissed, but I forgot
Last Friday night, yeah, we maxed our credit cards
And got kicked out of the bar, so we hit the boulevard
Last Friday night, we went streaking in the park
Skinny dipping in the dark then had a ménage à trois
Last Friday night, yeah, I think we broke the law
Always say we're gonna stop-op, oh-woah

[Post-Chorus]
But this Friday night
Do it all again

[Produced by Dr. Luke and Max Martin]"
1557.0,Rihanna - Only Girl (In The World),Rihanna,2010,Pop,"['barbadian pop', 'pop', 'urban contemporary']",barbadian pop,pop,urban contemporary,1761726434,1480275,,"[Intro]
La-la-la-la
La-la-la-la
La-la-la-la (Uh, yeah)
La-la-la-la

[Verse 1]
I want you to love me
Like I'm a hot ride (Uh, yeah)
Be thinking of me (Uh)
Doing what you like (Haha)
So, boy, forget about the world
'Cause it's gon' be me and you tonight (Yeah)
I wanna make you beg for it
Then I'ma make you swallow your pride, oh (Uh, uh)

[Chorus]
Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man, yeah
Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only one

[Verse 2]
Want you to take it (Uh)
Like a thief in the night (Uh)
Hold me like a pillow
Make me feel right (Uh)
Baby, I'll tell you all my secrets that I'm keeping
You can come inside (Yeah)
And when you enter, you ain't leaving
Be my prisoner for the night, oh

[Chorus]
Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
Like I'm the only one who knows your heart
Only one

[Bridge]
Take me for a ride, ride
Oh, baby, take me high, high
Let me make you rise, rise
Oh, make it last all night, night
Take me for a ride, ride
Oh, baby, take me high, high
Let me make you rise, rise
Make it last all night

[Chorus]
Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man

[Outro]
Only girl in the world
Girl in the world
Only girl in the world
Girl in the world"
